Day,Entropy,30 Day
20210331,0.0,0.0
20210401,0.0,0.0
20210402,0.0,0.0
20210403,0.0,0.0
20210404,0.0,0.0
20210405,0.0,0.0
20210406,0.0,0.0
20210407,0.0,0.0
20210408,0.0,0.0
20210409,0.0,0.0
20210410,0.0,0.0
20210411,0.0,0.0
20210412,0.0,0.0
20210413,0.0,0.0
20210414,0.0,0.0
20210415,0.0,0.0
20210416,0.0,0.0
20210417,0.0,0.0
20210418,0.0,0.0
20210419,0.0,0.0
20210420,0.0,0.0
20210421,0.0,0.0
20210422,0.0,0.0
20210423,0.0,0.0
20210424,0.0,0.0
20210425,0.0,0.0
20210426,0.0,0.0
20210427,0.0,0.0
20210428,0.0,0.0
20210429,0.0,0.0
20210430,0.0,0.0
20210501,0.0,0.0
20210502,0.0,0.0
20210503,0.0,0.0
20210504,0.0,0.0
20210505,0.0,0.0
20210506,0.0,0.0
20210507,0.0,0.0
20210508,0.0,0.0
20210509,0.0,0.0
20210510,0.0,0.0
20210511,0.0,0.0
20210512,0.0,0.0
20210513,0.0,0.0
20210514,0.0,0.0
20210515,0.0,0.0
20210516,0.0,0.0
20210517,0.0,0.0
20210518,0.0,0.0
20210519,0.0,0.0
20210520,0.0,0.0
20210521,0.0,0.0
20210522,0.0,0.0
20210523,0.0,0.0
20210524,0.0,0.0
20210525,0.0,0.0
20210526,0.0,0.0
20210527,0.0,0.0
20210528,0.0,0.0
20210529,0.0,0.0
20210530,0.0,0.0
20210531,0.0,0.0
20210601,0.0,0.0
20210602,0.0,0.0
20210603,0.0,0.0
20210604,0.0,0.0
20210605,0.0,0.0
20210606,0.0,0.0
20210607,0.0,0.0
20210608,0.0,0.0
20210609,0.0,0.0
20210610,0.0,0.0
20210611,0.0,0.0
20210612,0.0,0.0
20210613,0.0,0.0
20210614,0.0,0.0
20210615,0.0,0.0
20210616,0.0,0.0
20210617,0.0,0.0
20210618,0.0,0.0
20210619,0.0,0.0
20210620,0.0,0.0
20210621,0.0,0.0
20210622,0.0,0.0
20210623,0.0,0.0
20210624,0.0,0.0
20210625,0.0,0.0
20210626,0.0,0.0
20210627,0.0,0.0
20210628,0.0,0.0
20210629,0.0,0.0
20210630,0.0,0.0
20210701,0.0,0.0
20210702,0.0,0.0
20210703,0.0,0.0
20210704,0.0,0.0
20210705,0.0,0.0
20210706,0.0,0.0
20210707,0.0,0.0
20210708,0.0,0.0
20210709,0.0,0.0
20210710,0.0,0.0
20210711,0.0,0.0
20210712,0.0,0.0
20210713,0.0,0.0
20210714,0.0,0.0
20210715,0.0,0.0
20210716,0.0,0.0
20210717,0.0,0.0
20210718,0.0,0.0
20210719,0.0,0.0
20210720,0.0,0.0
20210721,0.0,0.0
20210722,0.0,0.0
20210723,0.0,0.0
20210724,0.0,0.0
20210725,0.0,0.0
20210726,0.0,0.0
20210727,0.0,0.0
20210728,0.0,0.0
20210729,0.0,0.0
20210730,0.0,0.0
20210731,0.0,0.0
20210801,0.0,0.0
20210802,0.0,0.0
20210803,0.0,0.0
20210804,0.0,0.0
20210805,0.0,0.0
20210806,0.0,0.0
20210807,0.0,0.0
20210808,0.0,0.0
20210809,0.0,0.0
20210810,0.0,0.0
20210811,0.0,0.0
20210812,0.0,0.0
20210813,0.0,0.0
20210814,0.0,0.0
20210815,0.0,0.0
20210816,0.0,0.0
20210817,0.0,0.0
20210818,0.0,0.0
20210819,0.0,0.0
20210820,0.0,0.0
20210821,0.0,0.0
20210822,0.0,0.0
20210823,0.0,0.0
20210824,0.0,0.0
20210825,0.0,0.0
20210826,0.0,0.0
20210827,0.0,0.0
20210828,0.0,0.0
20210829,0.0,0.0
20210830,0.0,0.0
20210831,0.0,0.0
20210901,0.0,0.0
20210902,0.0,0.0
20210903,0.0,0.0
20210904,0.0,0.0
20210905,0.0,0.0
20210906,0.0,0.0
20210907,0.0,0.0
20210908,0.0,0.0
20210909,0.0,0.0
20210910,0.0,0.0
20210911,0.0,0.0
20210912,0.0,0.0
20210913,0.0,0.0
20210914,0.0,0.0
20210915,0.0,0.0
20210916,0.0,0.0
20210917,0.0,0.0
20210918,0.0,0.0
20210919,0.0,0.0
20210920,0.0,0.0
20210921,0.0,0.0
20210922,0.0,0.0
20210923,0.0,0.0
20210924,0.0,0.0
20210925,0.0,0.0
20210926,0.0,0.0
20210927,0.0,0.0
20210928,0.0,0.0
20210929,0.0,0.0
20210930,0.0,0.0
20211001,0.0,0.0
20211002,0.0,0.0
20211003,0.0,0.0
20211004,0.0,0.0
20211005,0.0,0.0
20211006,0.0,0.0
20211007,0.0,0.0
20211008,0.0,0.0
20211009,0.0,0.0
20211010,0.0,0.0
20211011,0.0,0.0
20211012,0.0,0.0
20211013,0.0,0.0
20211014,0.0,0.0
20211015,0.0,0.0
20211016,0.0,0.0
